model,model_name,scaling_factor,repeat,execution_time_ms,peak_memory_mb,weak_scaling_efficiency,scaling_type
legacy_hh,Legacy HH,1,0,18.352031707763672,177.984375,0.9848390365577987,weak
legacy_hh,Legacy HH,1,1,17.747879028320312,181.328125,1.0183637829124126,weak
legacy_hh,Legacy HH,1,2,17.421722412109375,179.59375,1.037428837311145,weak
legacy_hh,Legacy HH,1,3,16.60013198852539,172.265625,1.0887743084479935,weak
legacy_hh,Legacy HH,1,4,16.4492130279541,164.78125,1.0987636426883887,weak
legacy_hh,Legacy HH,2,0,18.314361572265625,162.578125,0.9868647156842324,weak
legacy_hh,Legacy HH,2,1,17.43006706237793,164.59375,1.0369321679182568,weak
legacy_hh,Legacy HH,2,2,15.385866165161133,165.71875,1.1747013156059691,weak
legacy_hh,Legacy HH,2,3,16.715049743652344,166.203125,1.0812888686027273,weak
legacy_hh,Legacy HH,2,4,19.15907859802246,170.921875,0.943354198036312,weak
legacy_hh,Legacy HH,3,0,15.775203704833984,162.671875,1.145709276667775,weak
legacy_hh,Legacy HH,3,1,17.343997955322266,157.734375,1.0420779149369037,weak
legacy_hh,Legacy HH,3,2,19.221067428588867,158.890625,0.9403118371599747,weak
legacy_hh,Legacy HH,3,3,18.440961837768555,155.53125,0.9800897255226447,weak
legacy_hh,Legacy HH,3,4,16.84880256652832,144.234375,1.0727051465281807,weak
legacy_hh,Legacy HH,4,0,18.682003021240234,141.9375,0.9674442941371654,weak
legacy_hh,Legacy HH,4,1,18.40496063232422,149.40625,0.9820068397326286,weak
legacy_hh,Legacy HH,4,2,17.66204833984375,132.453125,1.0233126349892008,weak
legacy_hh,Legacy HH,4,3,16.85023307800293,148.796875,1.0726140785284755,weak
legacy_hh,Legacy HH,4,4,19.07491683959961,152.921875,0.94751643626728,weak
legacy_markov,Anticonvulsant Legacy Markov,1,0,263.9579772949219,223.796875,0.9900968278054773,weak
legacy_markov,Anticonvulsant Legacy Markov,1,1,282.2909355163574,205.921875,0.9257964855145294,weak
legacy_markov,Anticonvulsant Legacy Markov,1,2,233.74485969543457,223.03125,1.1180735967164321,weak
legacy_markov,Anticonvulsant Legacy Markov,1,3,328.5701274871826,180.5625,0.79539779830973,weak
